gene	case1	case2	case3	case4	case5	case6	case7	control1	control2	control3	control4	control5	control6	control7
1110005A03Rik	1	1	2	2	1	2	1	5	2	3	4	1	6	3
1110006O24Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1110007C09Rik	1	1	0	0	0	0	1	0	0	0	0	1	0	0
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	7	4	10	10	3	7	4	3	12	6	14	7	10	8
1110008J03Rik	0	0	1	0	1	1	1	1	1	1	1	0	0	0
1110008L16Rik	191	152	157	191	177	134	194	131	121	104	151	108	144	94
1110008P14Rik	7	10	7	6	3	5	6	3	6	5	4	2	9	8
1110012J17Rik	37	47	55	59	37	48	58	13	23	16	17	10	17	19
1110012L19Rik	1	1	0	1	0	1	0	1	0	1	0	1	0	0
1110014N23Rik	3	1	1	3	0	4	4	2	0	1	1	0	0	2
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	2	0	1	1	0	2	0	1	1	1	1	1	0	2
1110017F19Rik	5	2	3	10	9	11	6	3	2	3	4	4	14	3
1110018G07Rik	2	3	8	6	3	2	3	7	6	6	8	4	10	1
1110018J18Rik	12	11	20	16	6	8	4	9	10	11	11	4	10	6
1110019D14Rik	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1110020A21Rik	0	2	3	8	4	2	5	1	0	2	2	1	2	2
1110020C17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110020G09Rik	10	5	10	5	9	8	10	2	4	4	3	2	6	1
1110021J02Rik	1614	2054	1837	1579	1268	1649	1753	1312	1668	1671	1616	1229	1545	1274
1110021L09Rik	3	1	2	0	2	3	1	1	1	0	5	0	4	1
1110028C15Rik	235	245	224	181	228	235	240	203	191	177	233	182	220	180
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110031I02Rik	30	27	46	33	33	19	23	11	19	35	15	11	15	11
1110032A03Rik	4	2	1	0	0	2	0	1	2	1	2	0	0	0
1110032A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	0	0	0	0	0	0	0	5	17	7	7	4	1	0
1110034A24Rik	609	621	677	642	534	524	578	374	504	518	492	378	474	396
1110034B05Rik	25	26	29	21	18	19	28	22	26	27	29	28	36	22
1110034G24Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1110035M17Rik	0	1	1	0	1	0	1	0	2	0	0	1	0	2
1110036E04Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	6	4	2	3	3	4	5	1	1	1	4	2	3	4
1110038B12Rik	0	0	2	0	0	0	0	0	0	2	1	0	1	0
1110038D17Rik	2	2	1	1	0	1	0	0	1	0	0	0	2	1
1110038F14Rik	1	0	0	4	1	1	1	1	3	2	3	4	1	0
1110046J04Rik	6	5	5	0	1	8	2	5	5	7	7	1	2	2
1110049F12Rik	1	2	4	3	1	7	9	6	4	4	3	2	6	3
1110050K14Rik	0	0	0	0	0	1	1	3	5	3	6	3	4	4
1110051M20Rik	336	318	367	263	311	318	396	72	109	123	103	61	147	102
1110054M08Rik	18	11	12	13	12	9	9	0	4	3	0	2	1	1
1110054O05Rik	5	9	3	14	1	2	5	4	2	2	5	4	2	0
1110057K04Rik	2	0	1	1	1	0	1	0	1	1	2	2	1	2
1110058L19Rik	0	0	0	0	0	0	0	2	1	0	0	0	0	3
1110059E24Rik	1	1	1	0	1	0	0	0	0	0	0	0	1	0
1110059G10Rik	0	0	3	2	0	0	0	0	2	2	0	0	2	1
1110059M19Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	3	1	2	4	3	1	0	3	1	3	1	3	0	3
1110067D22Rik	3	7	3	6	3	4	2	1	1	3	4	1	3	2
1190002F15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190002H23Rik	0	0	0	1	0	1	0	2	0	3	1	3	1	0
1190002N15Rik	20	24	17	19	12	17	15	0	0	4	4	2	3	0
1190003J15Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1190003K10Rik	0	0	0	0	0	1	0	0	4	1	1	1	0	2
1190005F20Rik	3	1	3	0	1	2	2	0	0	2	1	1	1	0
1190005I06Rik	0	2	0	0	0	2	0	0	2	1	0	1	1	1
1190007F08Rik	695	696	744	755	578	702	782	681	851	927	928	748	860	751
1190007I07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200009I06Rik	0	0	0	0	0	0	1	0	0	1	1	0	1	0
1200011I18Rik	2	3	5	5	6	4	3	2	3	2	5	2	3	3
1200011M11Rik	4	0	1	1	2	1	0	0	1	1	1	0	1	1
1200014J11Rik	22	18	28	23	14	22	10	8	11	15	13	12	17	7
1200016B10Rik	6	2	2	3	4	0	3	0	0	4	1	2	2	0
1300001I01Rik	2	3	6	4	5	3	3	1	4	2	2	3	1	5
1300002E11Rik	0	2	0	6	1	1	3	1	0	2	0	0	0	1
1300002K09Rik	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1300010F03Rik	5	6	5	5	3	8	2	4	2	7	3	4	3	5
1300014I06Rik	0	0	1	0	0	0	0	0	1	1	2	2	4	1
1300015D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300017J02Rik	6	12	14	1	10	4	8	1	4	11	8	0	4	6
1300018I17Rik	14	10	13	13	18	13	20	5	11	6	8	15	5	8
